source,target
C00051443,PTPN22
C00051443,EPAS1
C00051443,UBE2I
C00051443,RAPGEF3
C00051443,STAT1
C00051443,EIF2AK3
C00051443,FTO
C00051443,SMAD3
C00051443,OXTR
C00051443,PRKACB
C00051443,GAPDH
C00051443,ALPL
C00051443,GPR35
C00051443,IL1B
C00051443,AVPR1A
C00051443,PABPC1
C00051443,PPARG
C00051443,NCOA2
C00051443,GNAI1
C00051443,RAPGEF4
C00051443,SENP6
C00051443,TP53
C00051443,MAPK1
C00051443,MAP3K3
C00051443,NCOA1
C00051443,NFKB1
C00051443,HDAC3
C00051443,JUN
C00051443,AKT1
C00051443,ATP6AP2
C00051443,MDK
C00051443,NOS3
C00051443,ACE
C00051443,FOXA2
C00003088,MTOR
C00003088,DGKB
C00003088,SLC30A6
C00003088,CASR
C00003088,GNAI1
C00003088,GRM8
C00001513,RAPGEF4
C00001513,OXTR
C00001513,SENP6
C00001513,TP53
C00001513,PRKACB
C00001513,NCOA2
C00001513,EPAS1
C00001513,NRP1
C00001513,GLP1R
C00001513,GNAS
C00001513,ATF6
C00001513,RAPGEF3
C00001513,NCOA1
C00001513,IL1B
C00001513,AVPR1A
C00001513,PABPC1
C00001513,HDAC3
C00001513,JUN
C00001513,AKT1
C00001513,PADI4
C00001513,HNRNPD
C00001513,IL1R1
C00001513,IL1RAP
C00001513,IL1R2
C00001513,IL1RN
C00004631,LCK
C00004631,APP
C00004631,GLP1R
C00004631,ATF6
C00004631,NR3C1
C00004631,SRC
C00004631,IGF1R
C00004631,MAPK14
C00004631,PRKCA
C00004631,EGFR
C00004631,GCK
C00004631,KDR
C00004631,RPS6KB1
C00004631,MMP9
C00004631,PON1
C00004631,GAPDH
C00004631,GPR35
C00004631,MAPK9
C00004631,PPARG
C00004631,GNAI1
C00004631,MAPK11
C00004631,TP53
C00004631,GCKR
C00004631,MTOR
C00004631,MAPK1
C00004631,CALM1
C00004631,PIK3CA
C00004631,NFKB1
C00004631,MAPK8
C00004631,AVPR2
C00004631,JUN
C00004631,TOP2A
C00004631,AKT1
C00004631,PRSS58
C00004631,FTH1
C00004631,RPL14
C00004631,REG1A
C00004631,SPINK2
C00005141,NFKB1
C00005141,STAT3
C00005141,MYC
C00005141,GCG
C00005141,UBC
C00005141,MCHR1
C00005141,HCRT
C00005141,CALCR
C00002752,RAPGEF4
C00002752,OXTR
C00002752,SENP6
C00002752,TP53
C00002752,PRKACB
C00002752,NCOA2
C00002752,EPAS1
C00002752,NRP1
C00002752,GLP1R
C00002752,GNAS
C00002752,IL1B
C00002752,RAPGEF3
C00002752,NCOA1
C00002752,AVPR1A
C00002752,PABPC1
C00002752,HDAC3
C00002752,AKT1
C00002752,PADI4
C00002752,CCL11
