source,target
GCG,IAPP
GIP,IAPP
GIP,PTH
GNAS,GHRH
GCG,GIP
PTH,GHRH
PTH,IAPP
HCRT,GHRH
GCGR,PTH
GNAS,VIP
GCG,GHRH
GCGR,GNAS
CCK,MCHR1
GCG,MCHR1
GIP,CCK
GCGR,GIP
GCGR,VIP
GCG,VIP
HCRT,MCHR1
GNAS,GIP
GNAS,PTH
VIP,IAPP
GCG,PTH
VIP,GIP
GCG,CCK
GCGR,MCHR1
GCGR,CCK
CCK,IAPP
GIP,GHRH
VIP,CCK
VIP,PTH
GCG,HCRT
GNAS,IAPP
GCGR,HCRT
NOS3,ACE
ATP6AP2,ACE
NOS3,REN
BDKRB2,ACE
AGT,BDKRB2
AGT,REN
ATP6AP2,REN
NOS3,KNG1
KNG1,ACE2
BDKRB2,NOS3
MDK,ACE
AGT,ACE2
ATP6AP2,ACE2
ACE,ACE2
SOD3,ACE
AGT,ACE
AGT,NOS3
KNG1,TFPI
REN,KNG1
AGT,KNG1
NOS3,ACE2
ATP6AP2,AGT
ACE,REN
ACE2,TFPI
SOD3,NOS3
REN,ACE2
ACE,TFPI
BDKRB2,KNG1
ACE,KNG1
PCBD1,HNF1B
PDX1,HNF4A
CREBBP,HNF1B
PTF1A,FGF10
ONECUT1,FGF10
PDX1,PTF1A
HNF4A,ONECUT1
PTF1A,HNF1B
ONECUT3,HNF1B
PTF1A,ONECUT1
PKHD1,HNF1B
FGF10,HNF1B
PDX1,FGF10
HNF4A,PCBD1
HNF4A,HNF1B
VPS33B,ONECUT1
ONECUT3,ONECUT1
ONECUT1,CREBBP
ONECUT1,HNF1B
VPS33B,HNF1B
PDX1,HNF1B
PDX1,ONECUT1
INS,MYOD1
ANGPT2,DLL4
VEGFA,ANGPT2
VEGFA,DLL4
PAX3,MYOD1
SHH,MYOD1
ANGPT2,PROX1
FOXC2,ITGB3
VEGFA,MYOD1
SHH,DLL4
BMP2,MYOD1
BMP2,SHH
FOXC2,MYOD1
VEGFA,INS
SHH,INS
FOXC2,DLL4
VEGFA,ITGB3
VEGFA,PROX1
VEGFA,SHH
FOXC2,INS
PAX3,FOXC2
PAX3,SHH
FOXC2,PROX1
BMP2,INS
PAX3,BMP2
FOXC2,ANGPT2
FOXC2,SHH
VEGFA,FOXC2
BMP2,VEGFA
BMP2,FOXC2
YWHAZ,RRAD
MAP3K2,YWHAZ
CALM1,RRAD
MAP3K3,RRAD
MAP3K3,PRKACA
PRKCA,RRAD
PRKACA,YWHAZ
RRAD,NME1
RRAD,CSNK2A1
PRKCA,YWHAZ
MAP3K3,YWHAZ
CSNK2A1,NME1
CALM1,CAMK2G
PRKCA,PRKACA
MAP3K3,MAP3K2
CALM1,CSNK2A1
MAP3K2,RRAD
CAMK2G,RRAD
MAP3K19,RRAD
PRKACA,RRAD
LIPC,APOE
PNLIP,MGLL
PNLIP,DGKG
PNLIP,LIPC
LIPF,MGLL
LIPF,DGKA
LIPF,CEL
LIPF,PNLIP
CEL,DGKG
CEL,MGLL
LIPF,LIPC
LIPF,DGKG
CEL,PNLIP
LIPC,MGLL
DGKB,LIPF
DGKB,CEL
PNLIP,DGKA
LIPC,APOB
CEL,DGKA
DGKA,LIPC
LDLR,APOE
PNLIP,APOB
DGKB,LIPC
APOE,APOB
CEL,LIPC
LDLR,LIPC
LIPC,DGKG
LDLR,APOB
DGKB,PNLIP
PNLIP,APOE
GRB2,IL4
INSR,IGF1R
GRB2,IGF1
IRS2,IGF1R
INSR,IL4
MAPK8,IGF1R
GRB2,INSR
SOCS1,INSR
PIK3R1,IL4
GRB2,INS
MAPK8,PIK3CA
PIK3CA,IL4
IGF1,IL4
IGF1,PIK3CA
GRB2,PIK3CA
IRS2,PIK3CA
INSR,PIK3CA
PIK3R1,IGF1R
MAPK8,PIK3R1
IGF1,IGF1R
SOCS1,IL4
IRS2,GRB2
SOCS1,IGF1R
SOCS1,PIK3R1
IGF1,INS
IGF1R,INS
IGF1,PIK3R1
MAPK8,IL4
GRB2,PIK3R1
IRS2,IGF1
PIK3R1,PIK3CA
GRB2,SOCS1
MAPK8,GRB2
SOCS1,INS
INSR,IGF1
IRS2,MAPK8
INS,IL4
MAPK8,IGF1
PIK3CA,INS
IRS2,SOCS1
GRB2,IGF1R
MAPK8,INS
IGF1R,PIK3CA
IRS2,IL4
ATF6,EIF2AK3
HYOU1,DNAJB1
EIF2AK3,HSPA8
HYOU1,ATF6
DNAJC3,DNAJB11
HSPA6,DNAJB11
DNAJC3,HSPA6
HSPA2,HSPA8
DNAJC3,EIF2AK2
HYOU1,EIF2AK3
DNAJC3,ATF6
DNAJC3,PRKRIR
DNAJC3,HSPA8
HYOU1,HSPA2
HSPA6,HSPA8
ATF6,EIF2AK2
DNAJC3,EIF2AK3
DNAJB1,HSPA8
DNAJC3,DNAJB1
HYOU1,DNAJB11
HSPA6,DNAJB1
DNAJB11,HSPA8
PRKRIR,EIF2AK2
HYOU1,DNAJC3
EIF2AK3,HSPA2
HYOU1,HSPA8
HYOU1,HSPA6
DNAJB11,HSPA2
DNAJB1,HSPA2
DNAJC3,HSPA2
HSPA6,EIF2AK3
AKT2,SLC2A4
AKT2,RAB14
AKT1,LNPEP
TBC1D4,RAB8A
SLC2A4,YWHAH
RAB13,LNPEP
TBC1D4,LNPEP
VAMP2,AKT1
SLC2A4,LNPEP
SLC2A4,AKT1
TBC1D4,RAB10
YWHAH,LNPEP
TBC1D4,VAMP2
RAB14,VAMP2
AKT1,YWHAH
RAB14,RAB10
TBC1D4,AKT1
TBC1D4,SLC2A4
TBC1D4,RAB13
RAB14,RAB13
RAB14,AKT1
AKT2,LNPEP
RAB8A,LNPEP
AKT2,RAB8A
RAB10,LNPEP
RAB14,YWHAH
SLC2A4,RAB8A
RAB14,RAB8A
TBC1D4,YWHAH
RAB13,RAB10
RAB13,RAB8A
RAB14,SLC2A4
VAMP2,RAB8A
TBC1D4,RAB14
AKT2,RAB10
AKT2,AKT1
AKT2,RAB13
RAB14,LNPEP
SLC2A4,RAB10
VAMP2,YWHAH
VAMP2,LNPEP
RAB8A,RAB10
VAMP2,RAB10
RAB13,VAMP2
SLC2A4,VAMP2
RAB13,SLC2A4
NEUROD1,FGF10
PDX1,GCK
FOXA2,IAPP
ONECUT1,GCK
FOXA2,GCK
ONECUT1,HNF1A
PDX1,IAPP
FOXO1,IAPP
NEUROD1,INS
INS,IAPP
FOXA2,HNF1A
FOXA2,ONECUT1
MAFA,GCK
NEUROD1,IAPP
PDX1,FOXO1
ONECUT1,INS
FOXA2,INS
MAFA,IAPP
PDX1,MAFA
FOXO1,FOXA2
HNF1A,INS
MAFA,FOXA2
HNF1A,IAPP
FOXA2,NEUROD1
MAFA,NEUROD1
IAPP,GCK
PDX1,NEUROD1
PDX1,FOXA2
ONECUT1,NEUROD1
FOXO1,MAFA
FOXO1,NEUROD1
NEUROD1,GCK
PDX1,HNF1A
MAFA,INS
NEUROD1,HNF1A
HNF1A,GCK
FOXA2,FGF10
PDX1,INS
INS,GCK
FOXO1,GCK
ALB,HNF1A
SLC2A2,HNF4A
HDAC1,HNF4A
DYRK1B,HNF1A
SLC2A2,ALB
PDX1,SLC2A2
SLC2A2,HNF1A
PDX1,ALB
HNF4G,HNF1A
HNF4G,HNF4A
ALB,CREBBP
CTNNB1,ALB
DYRK1B,CREBBP
HDAC1,HNF1A
SLC2A2,ONECUT1
HNF4A,ALB
HDAC1,ALB
HNF4G,ONECUT1
HDAC1,CTNNB1
HDAC1,CREBBP
ISG15,MX2
ISG15,IRF7
ISG15,IFIT3
OAS1,IFIT3
IFIT3,RNASEL
OAS1,MX2
OAS1,TRIP12
MX1,IFIT1
RNASEL,MX2
MX2,IFI27
IFIT1,IFI6
IFIT3,IRF7
RNASEL,IRF7
ISG15,IFI6
ISG15,RNASEL
IFIT3,IFIT1
IFIT1,MX2
MX1,IFI6
OAS1,IFI6
MX1,RNASEL
MX1,IRF7
ISG15,TRIP12
MX1,MX2
OAS1,IRF7
MX1,IFIT3
IFI6,IFI27
IFIT1,IRF7
IFI6,MX2
MX1,IFI27
RNASEL,IFI27
IFIT3,MX2
ISG15,IFI27
IFIT3,IFI27
MX2,IRF7
IFIT1,IFI27
OAS1,MX1
MX2,TRIP12
OAS1,RNASEL
OAS1,IFIT1
MX1,TRIP12
IFIT3,IFI6
IRF7,IFI27
ISG15,IFIT1
RNASEL,IFI6
OAS1,IFI27
IFIT1,RNASEL
MX1,ISG15
IFI6,IRF7
OAS1,ISG15
PRKACB,RAB11FIP2
PRKACG,PRKACA
PRKACA,AQP2
AVP,AQP3
SLC12A1,AQP3
PRKACG,RAB11FIP2
PRKACA,RAB11A
PRKACG,PRKACB
AQP3,AQP2
PRKACG,AQP2
PRKACB,PRKACA
RAB11FIP2,AQP2
PRKACB,RAB11A
PRKACA,MYO5B
PRKACB,MYO5B
PRKACG,RAB11A
PRKACG,MYO5B
PRKACG,PRKAR1B
RAB11FIP2,PRKACA
MYO5B,AQP2
PRKAR1B,PRKACA
SLC12A1,AVP
RAB11FIP2,RAB11A
RAB11FIP2,MYO5B
RAB11A,AQP2
PRKACB,AQP2
SLC12A1,AQP2
MYO5B,RAB11A
PRKACB,PRKAR1B
PRKAR1B,AQP2
GLP1R,CALCA
CALCB,CALCA
CALCB,IAPP
GIP,ADM
GCG,ADM
ADM,IAPP
GIP,CALCB
GLP1R,CALCR
CALCR,GIP
PDX1,GLP1R
CALCA,ADM
GCG,CALCB
GLP1R,CALCB
GLP1R,INS
GLP1R,ADM
HSPG2,INS
HSPG2,CALCA
GIP,INS
CALCR,CALCB
GLP1R,GIP
CALCR,ADM
GCG,INS
ADM,INS
GCG,PDX1
PDX1,GIP
GCG,CALCA
CALCR,IAPP
HSPG2,IAPP
GIP,CALCA
CALCR,CALCA
GLP1R,IAPP
GCG,CALCR
GCG,GLP1R
CALCA,IAPP
CALCB,ADM
GNAI3,ADRA2A
GRM8,GNAI1
GNAI3,GNAI1
GNAI3,ADCY9
CASR,GNAI3
GNAI3,RGS20
ADCY9,MTNR1B
GNAI3,MTNR1A
ADRA2A,MTNR1B
GNAI1,RGS20
RGS20,MTNR1B
GRM8,ADCY9
GNB1,ADRA2A
RGS20,ADRA2A
GNAI1,ADRA2A
ADCY5,GNAI3
GNB1,MTNR1A
GRM8,MTNR1A
GRM8,ADRA2A
CASR,GRM8
GNB1,RGS20
CASR,GNB1
MTNR1A,ADRA2A
ADCY5,GNB1
CASR,GNAI1
GNAI1,MTNR1B
GNB1,GNAI3
GNB1,ADCY9
GNAI3,GRM8
CASR,ADCY5
CASR,RGS20
CASR,MTNR1A
GRM8,MTNR1B
GRM8,RGS20
ADCY5,MTNR1B
ADCY5,GRM8
ADCY5,MTNR1A
GNAI1,MTNR1A
GNAI3,MTNR1B
GNB1,GRM8
MTNR1A,ADCY9
ADCY9,ADRA2A
CASR,MTNR1B
CASR,ADCY9
CASR,ADRA2A
ADCY5,ADCY9
ADCY5,ADRA2A
ADCY5,GNAI1
MTNR1A,MTNR1B
MTNR1A,RGS20
GNB1,MTNR1B
GNAI1,ADCY9
GNB1,GNAI1
PPARG,UCP1
SLC2A4,INS
UCP3,PPARA
UCP3,ATIC
UCP2,ATIC
SLC2A4,PPARA
UCP3,C10orf10
C10orf10,PPARG
UCP3,INS
UCP3,SLC2A4
PPARA,ATIC
UCP2,PPARA
UCP3,UCP1
PPARG,ATIC
UCP1,ATIC
SP3,UCP1
UCP3,SP3
SLC2A4,UCP1
SLC2A4,LEP
UCP2,PPARG
LEP,C10orf10
SLC2A4,C10orf10
